year,city,country,avg_temp
,,,
1866,Kanpur,India,24.65
1867,Kanpur,India,24.75
1868,Kanpur,India,24.43
1869,Kanpur,India,24.57
1870,Kanpur,India,24.44
1871,Kanpur,India,24.51
1872,Kanpur,India,24.52
1873,Kanpur,India,24.62
1874,Kanpur,India,24.53
1875,Kanpur,India,24.84
1876,Kanpur,India,24.67
1877,Kanpur,India,24.83
1878,Kanpur,India,24.94
1879,Kanpur,India,24.43
1880,Kanpur,India,24.79
1881,Kanpur,India,24.44
1882,Kanpur,India,24.39
1883,Kanpur,India,24.35
1884,Kanpur,India,24.21
1885,Kanpur,India,24.11
1886,Kanpur,India,24.44
1887,Kanpur,India,24.31
1888,Kanpur,India,24.52
1889,Kanpur,India,24.9
1890,Kanpur,India,24.53
1891,Kanpur,India,24.3
1892,Kanpur,India,25.06
1893,Kanpur,India,23.53
1894,Kanpur,India,24.54
1895,Kanpur,India,24.68
1896,Kanpur,India,25.57
1897,Kanpur,India,25.32
1898,Kanpur,India,24.94
1899,Kanpur,India,25.02
1900,Kanpur,India,25.14
1901,Kanpur,India,25.02
1902,Kanpur,India,25.17
1903,Kanpur,India,24.82
1904,Kanpur,India,24.56
1905,Kanpur,India,24.13
1906,Kanpur,India,24.79
1907,Kanpur,India,24.68
1908,Kanpur,India,24.93
1909,Kanpur,India,24.52
1910,Kanpur,India,24.47
1911,Kanpur,India,24.79
1912,Kanpur,India,24.71
1913,Kanpur,India,24.51
1914,Kanpur,India,24.77
1915,Kanpur,India,25.06
1916,Kanpur,India,24.58
1917,Kanpur,India,23.6
1918,Kanpur,India,24.72
1919,Kanpur,India,24.48
1920,Kanpur,India,24.76
1921,Kanpur,India,25.35
1922,Kanpur,India,24.74
1923,Kanpur,India,25
1924,Kanpur,India,24.94
1925,Kanpur,India,24.4
1926,Kanpur,India,24.58
1927,Kanpur,India,24.6
1928,Kanpur,India,25.28
1929,Kanpur,India,24.99
1930,Kanpur,India,24.91
1931,Kanpur,India,25.36
1932,Kanpur,India,25.21
1933,Kanpur,India,24.28
1934,Kanpur,India,24.64
1935,Kanpur,India,24.6
1936,Kanpur,India,24.33
1937,Kanpur,India,24.32
1938,Kanpur,India,24.71
1939,Kanpur,India,24.75
1940,Kanpur,India,24.65
1941,Kanpur,India,25.67
1942,Kanpur,India,25.09
1943,Kanpur,India,24.94
1944,Kanpur,India,24.59
1945,Kanpur,India,24.41
1946,Kanpur,India,24.95
1947,Kanpur,India,25.21
1948,Kanpur,India,25.02
1949,Kanpur,India,25
1950,Kanpur,India,24.43
1951,Kanpur,India,25.12
1952,Kanpur,India,25.31
1953,Kanpur,India,25.54
1954,Kanpur,India,25.15
1955,Kanpur,India,24.7
1956,Kanpur,India,24.75
1957,Kanpur,India,24.66
1958,Kanpur,India,25.74
1959,Kanpur,India,25.3
1960,Kanpur,India,25.23
1961,Kanpur,India,24.53
1962,Kanpur,India,24.82
1963,Kanpur,India,24.9
1964,Kanpur,India,24.98
1965,Kanpur,India,24.98
1966,Kanpur,India,25.58
1967,Kanpur,India,24.77
1968,Kanpur,India,24.64
1969,Kanpur,India,25.43
1970,Kanpur,India,24.93
1971,Kanpur,India,24.09
1972,Kanpur,India,25.06
1973,Kanpur,India,25.23
1974,Kanpur,India,25.14
1975,Kanpur,India,24.82
1976,Kanpur,India,25.05
1977,Kanpur,India,25.15
1978,Kanpur,India,24.66
1979,Kanpur,India,25.51
1980,Kanpur,India,25.31
1981,Kanpur,India,25.05
1982,Kanpur,India,24.92
1983,Kanpur,India,24.43
1984,Kanpur,India,25
1985,Kanpur,India,25.44
1986,Kanpur,India,25
1987,Kanpur,India,25.82
1988,Kanpur,India,25.6
1989,Kanpur,India,24.95
1990,Kanpur,India,25.12
1991,Kanpur,India,25.32
1992,Kanpur,India,25.27
1993,Kanpur,India,25.27
1994,Kanpur,India,25.33
1995,Kanpur,India,25.55
1996,Kanpur,India,25.31
1997,Kanpur,India,24.71
1998,Kanpur,India,25.46
1999,Kanpur,India,25.78
2000,Kanpur,India,25.35
2001,Kanpur,India,25.33
2002,Kanpur,India,26.12
2003,Kanpur,India,25.41
2004,Kanpur,India,25.59
2005,Kanpur,India,25.62
2006,Kanpur,India,25.85
2007,Kanpur,India,25.44
2008,Kanpur,India,25.11
2009,Kanpur,India,25.99
2010,Kanpur,India,26.02
2011,Kanpur,India,25.06
2012,Kanpur,India,25.45
2013,Kanpur,India,26.12
